id,resource_type,locator,translatable_string
29b9ff47-d459-4445-b6a3-06c241a04235,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[0].text","""When can I come to your store?"""
275f675c-528a-48e0-96c2-b2348ded0e6c,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[1].text","""When are you open?"""
bc4e995b-5c0e-4cf4-be95-0d2b83ee61c7,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[2].text","""What time is your store open on saturday?"""
d1ebe1b0-1d2e-475e-8c0b-336e3de6788f,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[3].text","""What time do stores close?"""
2a1e95a3-3ecf-4c79-accd-ea13c43d495e,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[4].text","""What time does the store shut on a saturday?"""
3df99fa1-1ce5-4572-a479-ecb728704183,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[5].text","""What time are you closing today?"""
5ecbd7f1-c7bf-4acc-8370-2f5afd88eb2a,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[6].text","""What is the opening time for your store?"""
42d96b27-4d6e-4563-8692-7b5a1c0ddd2a,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[7].text","""What are your hours?"""
d919864e-d72e-4af1-80a0-f1892bd5beb3,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[8].text","""What are ur opening hours?"""
b71216c7-9abf-435b-ade8-42db7776d82e,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[9].text","""What are the saturday opening times for the local store?"""
b508ad6f-be5d-41c0-af7d-aae3e46f0534,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[10].text","""What are the hours of operation?"""
ce893cf1-fc66-4a2a-8789-bba9fbf78f71,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[11].text","""What are the business hours of the store nearest to me?"""
538faaff-747a-4cf2-9985-173475ac2d2f,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[12].text","""Store hours"""
0cd77d1b-7afe-40e9-8b63-7ea422fb6efa,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[13].text","""Is the branch open now?"""
8779718a-7f7a-481d-8236-9938aebffb8f,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[14].text","""How long are you open?"""
85812935-8fd0-4475-a44b-d27ec465c040,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[15].text","""How early do you open?"""
e86e8651-d4db-45f7-8619-d2d21e7e739b,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[16].text","""Does the store open on weekends?"""
d8f9a11e-6980-4eea-942f-8f8e0af32174,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[17].text","""Can you tell me how late the stores are open till?"""
622c0311-b934-47bf-98f6-165d8cb28ae5,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[18].text","""At what hour can I swing by?"""
bd6c73c2-857d-407f-b4e0-c9cf45bb6eb1,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[19].text","""Are you open on sundays, and if so what are the hours?"""
55f8d8e8-fad2-4539-80af-23235256d0f8,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[20].text","""Are you open on bank holidays?"""
70ff305e-9e7c-4d04-a7c9-d21499af67f4,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[21].text","""Are you open during thanksgiving?"""
52de5c9d-e8cf-4762-aa82-fafc06b65129,EXAMPLE_TEXT,"workspace.intents[intent=""action_26747_intent_37656""].examples[22].text","""Are the stores open early?"""
a0d842fe-cb23-40b4-a695-ebd8d88a5dc5,EXAMPLE_TEXT,"workspace.intents[intent=""fallback_connect_to_agent""].examples[0].text","""I would like to speak to someone"""
8914acb5-5e63-4441-bdeb-1971026a460c,EXAMPLE_TEXT,"workspace.intents[intent=""fallback_connect_to_agent""].examples[1].text","""Can I connect to an agent?"""
e428b51d-041c-45d3-af5a-a2299b864700,EXAMPLE_TEXT,"workspace.intents[intent=""fallback_connect_to_agent""].examples[2].text","""I would like to speak to a human"""
952d3444-94c2-4ed4-b05a-b6bed97c8ff4,EXAMPLE_TEXT,"workspace.intents[intent=""fallback_connect_to_agent""].examples[3].text","""Agent help"""
530c824c-37bb-4e4c-a5d9-80da4ae7c638,EXAMPLE_TEXT,"workspace.intents[intent=""fallback_connect_to_agent""].examples[4].text","""Call agent"""
bcd45323-eb52-4e27-85e5-4d8342b871cf,ENTITY_VALUE,"workspace.entities[entity=""entity_17250""].values[type=""patterns"", value=""Regular_expression""].value","""Regular_expression"""
31900e6e-5196-49b5-bceb-d015252897a1,ENTITY_VALUE_PATTERN,"workspace.entities[entity=""entity_17250""].values[type=""patterns"", value=""Regular_expression""].pattern","""""^(?:.*[a-z])(?:.*[A-Z])(?:.*\d)(?:.*[@$!%*?&])[A-Za-z\d@$!%*?&]{8,}$"""""
ff8991e4-9eaf-4c71-9a99-3ec75f79e153,ENTITY_VALUE,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""SoHo""].value","""SoHo"""
