id,resource_type,locator,translatable_string
907bc2d6-2b92-4666-ad5c-d9b347585a50,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""Anything else""].title","""Anything else"""
aecabb3c-8c8d-4070-9cc4-a4648243d4b2,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""Anything else""].output.generic[0].values[0].text","""It looks like we are not on the same page today. Please contact on +919309142772 for more information."""
a0b72ab6-5bab-4ea7-afef-758ec6663104,DIALOG_NODES_CONDITIONS,"workspace.dialog_nodes[type=""standard"", dialog_node=""Anything else""].conditions","""anything_else"""
c0183f53-d8cb-4ce4-9722-ee4a3b0abca9,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""folder"", dialog_node=""node_10_1719588865984""].title","""Basic Conversations"""
bf1a384e-33d5-4bdd-9bbe-73beeba3a566,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1719665488582""].title","""Flowers"""
6cc70a78-5f30-414e-a6eb-9fa124a3722b,DIALOG_NODES_CONDITIONS,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1719665488582""].conditions","""#Flowers"""
062f5b1f-4b73-4904-84d4-aaf062fe8676,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_3_1719588585773""].title","""Good bye"""
632b603b-d14a-4688-a57c-4f47013c3594,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_3_1719588585773""].output.generic[0].values[0].text","""Good bye."""
9fe1e34a-3701-4da1-b827-c721758fe33b,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_3_1719588585773""].output.generic[0].values[1].text","""Good bye, See you again!!!."""
88ae26db-e101-44d2-871e-2791205e38fb,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_3_1719588585773""].output.generic[0].values[2].text","""Nice to hear you, Good bye."""
